id, url
NWI6KcFVz8y7BC6mPrIY6A , https://www.yelp.com/biz/flatstick-pub-pioneer-square-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
ikBvlDFvfY-HGIcYKB8jvA , https://www.yelp.com/biz/rabbit-hole-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
Xz0Z8ptixOnE5wPZSdGrnQ , https://www.yelp.com/biz/the-hideout-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
rgkwLKTmZdj72S1KmEkENg , https://www.yelp.com/biz/zig-zag-cafe-seattle-2?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
eQSTMuWBtlYycv8fX5cVYA , https://www.yelp.com/biz/anju-bar-and-eatery-seattle-2?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
phbhMeEye0H2I009xbID2w , https://www.yelp.com/biz/the-backdoor-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
Jb_4rXfcEUg-H5c4RaMtpQ , https://www.yelp.com/biz/unicorn-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
dxFKEFMHQM2a1XtlmnaWiA , https://www.yelp.com/biz/pie-bar-seattle-2?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
v2qc6PA2x8OkySKtMTx10g , https://www.yelp.com/biz/dynasty-room-seattle-5?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
HEPqdrw3KpmgA8AOoN9qeg , https://www.yelp.com/biz/ravenna-brewing-company-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
nQvpbUSWSgXEMcMDE08cIA , https://www.yelp.com/biz/gold-bar-seattle-3?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
CL1tOyNDffnquOWD33DunQ , https://www.yelp.com/biz/connect-lounge-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
uPaeVicz5ijxxz0nbDLJtA , https://www.yelp.com/biz/the-saloon-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
LwsjLSWvoo8fC_wL-DdcVQ , https://www.yelp.com/biz/spin-seattle-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
OCuUt35aQD2x1QfoWwsKqQ , https://www.yelp.com/biz/the-octopus-bar-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
orqdI_NDAdHuLNAMLhHrIg , https://www.yelp.com/biz/re-public-seattle-2?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
nhaOzmR7g44ICBZboBpOmQ , https://www.yelp.com/biz/the-underground-saloon-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
HhAZeZTmutTAuwsCGV3VbA , https://www.yelp.com/biz/outlander-brewery-and-pub-seattle-2?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
MnS-QAnCasoqlpHPWn6JIg , https://www.yelp.com/biz/flatstick-pub-south-lake-union-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
MiK1g4gkNXMXnLp_svwslw , https://www.yelp.com/biz/the-whisky-bar-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
JTAkz5zl4d_XkkkKjvlQxw , https://www.yelp.com/biz/shortys-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
UaszJCXczQ-djWsQ0ylVAA , https://www.yelp.com/biz/damn-the-weather-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
BB_sAfeg-EUWnJgkhNMpzQ , https://www.yelp.com/biz/hooverville-bar-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
3sneUs0DFZ31eFvyFP70CQ , https://www.yelp.com/biz/the-cozy-nut-tavern-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
ASysAjWXei6Xbg4P7F4fcQ , https://www.yelp.com/biz/the-sitting-room-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
nXt_KhHV3Q00zhGe0Y8IpQ , https://www.yelp.com/biz/jupiter-bar-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
9D8rfg9mOJBjY4VC8V80rQ , https://www.yelp.com/biz/teku-tavern-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
wGtQkH0a_vCP1hIx5k7cGw , https://www.yelp.com/biz/central-smoke-seattle?adjust_creative=KIqjD5y9rnzq9ev6ruaTHQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KIqjD5y9rnzq9ev6ruaTHQ
